Number,Long Description (Family),Compatible Standard,Manufacturer,Material,Material Code,Long Description (Size),Short Description,Spec,Size,Line Number Tag,Design Std,Content Iso Symbol Definition,Design Pressure Factor,End Type,Engagement Length,Facing,Flange Std,Gasket Std,Port Unit,Nominal Diameter,X Coordinate (Port 1),Y Coordinate (Port 1),COP Elevation (Port 1),Pressure Class,Schedule,Status,Wall Thickness,Weight,Weight Unit,Required Spec,Insulation Thickness,Insulation Type,Service,Tag,Tie In Number,Shop/Field,DWG Number,PnPID,Item Code,Matching Pipe OD,Flange Thickness,Center of Gravity X,Center of Gravity Y,Center of Gravity Z,Tracing Type,Tracing Spec,Insulation Spec,Spool Number,Unit,Top of Pipe,Bottom of Pipe,Length,Valve Alignment,Valve Detail,Valve Body Type,Flow Dependent,Offset,Operator Type,Actuator Type,Actuator Height,Actuator Width,Control Valve,Valve Code,Normally,Failure,End Connections,Code
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1044,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,162.000006,335.999991,136.929932,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,5221,,4.5,,,,,,,,,,139.179932,134.679932,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
109,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1064,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,126,349.5,53.819,300,,New,,,,,,,,HA-109,,SHOP,1-PE-001,5378,,4.5,,,,,,,,,,56.069,51.569,12,Inline,Continuous,Gate,False,False,Manual,HandWheel,27,15.75,False,,NO,,Unspecified,HA
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"10""",1026,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,1933.975239,1094.18324,270.751639,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,5407,,10.75,,,,,,,,,,276.126639,265.376639,13,Inline,Continuous,Gate,False,,Manual,HandWheel,49.75,23.5,,,,,,
,"Butterfly Valve, Offset, 300 LB, WFR, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"BUTTERFLY VALVE, OFFSET, 4"" ND, 300 LB, WFR, RF, ASME B16.10, 2 3/25"" LG, ASTM A216 GR WPB, HAND LEVER, H=6 3/4"", W=10 1/2""",Butterfly Valve,CS300,"4""",1048,Offset,"SKEY=VYFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,4,54.000006,372.627139,130.135815,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,5489,,4.5,,,,,,,,,,132.385815,127.885815,2.12,Inline,Continuous,Butterfly,False,,Manual,HandLever,6.75,10.5,,,,,,
,"Butterfly Valve, Offset, 300 LB, WFR, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"BUTTERFLY VALVE, OFFSET, 4"" ND, 300 LB, WFR, RF, ASME B16.10, 2 3/25"" LG, ASTM A216 GR WPB, HAND LEVER, H=6 3/4"", W=10 1/2""",Butterfly Valve,CS300,"4""",1050,Offset,"SKEY=VYFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,4,197.000006,372.627139,130.135815,300,,New,,,,,,,BFW,?-?,,SHOP,1-PE-001,5563,,4.5,,,,,,,,,,132.385815,127.885815,2.12,Inline,Continuous,Butterfly,False,,Manual,HandLever,6.75,10.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1048,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,54.000006,355.032639,130.135815,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,5630,,4.5,,,,,,,,,,132.385815,127.885815,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Solid Wedge, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, SOLID WEDGE, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1009,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,918.662664,412.903583,41.88937,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,5792,,6.625,,,,,,,,,,45.20187,38.57687,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1004,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,1110.662664,511.495915,41.88937,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,5803,,6.625,,,,,,,,,,45.20187,38.57687,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, FPT, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3/4"" ND, 300 LB, FPT, ASME B16.10, 6"" LG, ASTM A216 GR WPB, HAND WHEEL, H=18"", W=9 3/4""",Gate Valve,CS300,"3/4""",1064,Solid Wedge,"SKEY=VTSC,TYPE=VALVE",,THDF,0.55,,,,in,0.75,117.1875,349.5,32.98725,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,5862,,1.05,,,,,,,,,,33.51225,32.46225,6,Inline,Continuous,Gate,False,,Manual,HandWheel,18,9.75,,,,,,
,"Plug Valve, 150 LB, BW, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"PLUG VALVE, 2"" ND, 150 LB, BW, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB, HAND LEVER, H=6 4961/10000"", W=16 1417/10000""",Plug Valve,CS150,"2""",1014,,"SKEY=VPBW,TYPE=VALVE",,BV,0,,,,in,2,1918.92972,1790.404129,171.364676,150,,New,,,,,,,ME,?-?,,SHOP,1-PE-001,5892,,2.375,,,,,,,,,,172.552176,170.177176,8,Inline,Continuous,Plug,False,,Manual,HandWheel,16.25,11.75,,,,,,
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1048,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,54.000006,436.765139,130.135815,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,6034,,4.5,,,,,,,,,,132.385815,127.885815,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
105,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1063,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,180,317.2892,15.8125,300,,New,,,,,,,PC,HA-105?,,SHOP,1-PE-001,6036,,4.5,,,,,,,,,,18.0625,13.5625,12,Inline,Continuous,Gate,False,False,Manual,HandWheel,27,15.75,False,,NO,,Unspecified,HA
,"Gate Valve, Solid Wedge, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, SOLID WEDGE, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1004,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,1110.662664,460.903583,41.88937,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,6114,,6.625,,,,,,,,,,45.20187,38.57687,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"10""",1032,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,1933.975239,734.18324,270.751639,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,6142,,10.75,,,,,,,,,,276.126639,265.376639,13,Inline,Continuous,Gate,False,,Manual,HandWheel,49.75,23.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3"" ND, 300 LB, RF, ASME B16.10, 11 3/25"" LG, ASTM A216 GR WPB, HAND WHEEL, H=21 1/2"", W=11 3/4""",Gate Valve,CS300,"3""",1043,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,3,188.530275,671.364756,63.7367,300,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,6326,,3.5,,,,,,,,,,65.4867,61.9867,11.12,Inline,Continuous,Gate,False,,Manual,HandWheel,21.5,11.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, FPT, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3/4"" ND, 300 LB, FPT, ASME B16.10, 6"" LG, ASTM A216 GR WPB, HAND WHEEL, H=18"", W=9 3/4""",Gate Valve,CS300,"3/4""",1063,Solid Wedge,"SKEY=VTSC,TYPE=VALVE",,THDF,0.55,,,,in,0.75,180,326.7637,10.0625,300,,New,,,,,,,PC,?-?,,SHOP,1-PE-001,6374,,1.05,,,,,,,,,,10.5875,9.5375,6,Inline,Continuous,Gate,False,,Manual,HandWheel,18,9.75,,,,,,
,"Butterfly Valve, Offset, 150 LB, WFR, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"BUTTERFLY VALVE, OFFSET, 6"" ND, 150 LB, WFR, RF, ASME B16.10, 2 1/4"" LG, ASTM A216 GR WPB, HAND LEVER, H=8 3/4"", W=10 1/2""",Butterfly Valve,CS150,"6""",1067,Offset,"SKEY=VYFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,6,129.935766,508.325189,293.06,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,6625,,6.63,,,,,,,,,,296.375,289.745,2.25,Inline,Continuous,Butterfly,False,,Manual,HandLever,8.75,10.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, FPT, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3/4"" ND, 300 LB, FPT, ASME B16.10, 6"" LG, ASTM A216 GR WPB, HAND WHEEL, H=18"", W=9 3/4""",Gate Valve,CS300,"3/4""",1065,Solid Wedge,"SKEY=VTSC,TYPE=VALVE",,THDF,0.55,,,,in,0.75,188.8125,349.5,32.98725,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,6698,,1.05,,,,,,,,,,33.51225,32.46225,6,Inline,Continuous,Gate,False,,Manual,HandWheel,18,9.75,,,,,,
,"Plug Valve, 150 LB, BW, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"PLUG VALVE, 2"" ND, 150 LB, BW, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB, HAND LEVER, H=6 4961/10000"", W=16 1417/10000""",Plug Valve,CS150,"2""",1018,,"SKEY=VPBW,TYPE=VALVE",,BV,0,,,,in,2,1933.722958,1560.432234,171.364676,150,,New,,,,,,,HS,?-?,,SHOP,1-PE-001,6828,,2.375,,,,,,,,,,172.552176,170.177176,8,Inline,Continuous,Plug,False,,Manual,HandWheel,16.25,11.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1038,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,141.590195,740.126304,18,300,,New,,,,,,,P,?-?,,SHOP,1-PE-001,7089,,4.5,,,,,,,,,,20.25,15.75,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 6"" ND, 300 LB, RF, ASME B16.10, 15 22/25"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=36"", W=19 1/2""",Gate Valve,CS300,"6""",1068,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,594,288.7755,27.7245,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,7156,,6.625,,,,,,,,,,31.037,24.412,15.88,Inline,Continuous,Gate,False,,Manual,HandWheel,36,19.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1042,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,90.000006,335.999991,136.929932,300,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,7309,,4.5,,,,,,,,,,139.179932,134.679932,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3"" ND, 300 LB, RF, ASME B16.10, 11 3/25"" LG, ASTM A216 GR WPB, HAND WHEEL, H=21 1/2"", W=11 3/4""",Gate Valve,CS300,"3""",1042,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,3,141.590195,671.364756,63.7367,300,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,7323,,3.5,,,,,,,,,,65.4867,61.9867,11.12,Inline,Continuous,Gate,False,,Manual,HandWheel,21.5,11.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1052,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,276.525504,360,254.5255,300,,New,,,,,,,BFW,?-?,,SHOP,1-PE-001,7331,,4.5,,,,,,,,,,256.7755,252.2755,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 1 1/2"" ND, 150 LB, RF, ASME B16.10, 6 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"1 1/2""",1034,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,1.5,1856.54387,881.765306,72.980944,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,7723,,1.91,,,,,,,,,,73.935944,72.025944,6.5,Inline,Continuous,Gate,False,,Manual,HandWheel,15,8,,,,,,
,"Check Valve, Swing, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB",ASME B16.10,,CS,ASTM A216 Gr WPB,"CHECK VALVE, SWING, 4"" ND, 300 LB, RF, ASME B16.10, 14"" LG, ASTM A216 GR WPB",Check Valve,CS300,"4""",1070,Swing,"SKEY=VCFL,TYPE=VALVE",,FL,0,RF,ASME B16.5,,in,4,546,325,42.905434,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,7729,,4.5,,,,,,,,,,45.155434,40.655434,14,Inline,Continuous,Check,True,,,,,,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, FPT, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 3/4"" ND, 300 LB, FPT, ASME B16.10, 6"" LG, ASTM A216 GR WPB, HAND WHEEL, H=18"", W=9 3/4""",Gate Valve,CS300,"3/4""",1068,Solid Wedge,"SKEY=VTSC,TYPE=VALVE",,THDF,0.55,,,,in,0.75,546,303.7755,7.875,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,7880,,1.05,,,,,,,,,,8.4,7.35,6,Inline,Continuous,Gate,False,,Manual,HandWheel,18,9.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 3"" ND, 150 LB, RF, ASME B16.10, 8"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"3""",1008,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,3,930.384685,349.536179,17.229211,150,,New,,,,,,,FF,?-?,,SHOP,1-PE-001,7885,,3.5,,,,,,,,,,18.979211,15.479211,8,Inline,Continuous,Gate,False,,Manual,HandWheel,21.75,11.75,,,,,,
,"Check Valve, Swing, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB",ASME B16.10,,CS,ASTM A216 Gr WPB,"CHECK VALVE, SWING, 3"" ND, 300 LB, RF, ASME B16.10, 12 1/2"" LG, ASTM A216 GR WPB",Check Valve,CS300,"3""",1043,Swing,"SKEY=VCFL,TYPE=VALVE",,FL,0,RF,ASME B16.5,,in,3,188.530275,671.364756,51.1422,300,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,8029,,3.5,,,,,,,,,,52.8922,49.3922,12.5,Inline,Continuous,Check,True,,,,,,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 3"" ND, 150 LB, RF, ASME B16.10, 8"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"3""",1002,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,3,1122.384685,349.536179,17.229211,150,,New,,,,,,,FO,?-?,,SHOP,1-PE-001,8035,,3.5,,,,,,,,,,18.979211,15.479211,8,Inline,Continuous,Gate,False,,Manual,HandWheel,21.75,11.75,,,,,,
,"Globe Valve, 150 LB, SW, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GLOBE VALVE W. HAND WHEEL, 1"" ND, 150 LB, SW, ASME B16.10, 5"" LG, ASTM A216 GR WPB ",Globe Valve,CS150,"1""",1034,,"SKEY=VGSW,TYPE=VALVE",,SW,0.69,,,,in,1,1865.670497,890.891934,62.527709,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,8305,,1.315,,,,,,,,,,63.185209,61.870209,5,Inline,Continuous,Globe,False,,Manual,HandWheel,16.25,11.75,,,,,,
,"Globe Valve, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GLOBE VALVE W. HAND WHEEL, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB ",Globe Valve,CS150,"10""",1026,,"SKEY=VGFL,TYPE=VALVE",,FL,0,RF,,,in,10,1933.975239,1124.18324,270.751639,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,8329,,10.75,,,,,,,,,,276.126639,265.376639,13,Inline,Continuous,Globe,False,,Manual,HandWheel,32.75,31.5,,,,,,
128,"Check Valve, Swing, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB",ASME B16.10,,CS,ASTM A216 Gr WPB,"CHECK VALVE, SWING, 4"" ND, 300 LB, RF, ASME B16.10, 14"" LG, ASTM A216 GR WPB",Check Valve,CS300,"4""",1064,Swing,"SKEY=VCFL,TYPE=VALVE",,FL,0,RF,ASME B16.5,,in,4,126,349.5,39.7245,300,,New,,,,,,,,HA-128,,SHOP,1-PE-001,8435,,4.5,,,,,,,,,,41.9745,37.4745,14,Inline,Continuous,Check,True,False,,,,,False,,NO,,Unspecified,HA
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1070,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,546,325,56.999934,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,8719,,4.5,,,,,,,,,,59.249934,54.749934,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 1 1/2"" ND, 150 LB, RF, ASME B16.10, 6 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"1 1/2""",1023,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,1.5,1856.54387,1241.765306,72.980944,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,8821,,1.91,,,,,,,,,,73.935944,72.025944,6.5,Inline,Continuous,Gate,False,,Manual,HandWheel,15,8,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"10""",1026,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,1933.975239,1154.18324,270.751639,150,,New,,,,,,,CWR,?-?,,SHOP,1-PE-001,8878,,10.75,,,,,,,,,,276.126639,265.376639,13,Inline,Continuous,Gate,False,,Manual,HandWheel,49.75,23.5,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 10"" ND, 150 LB, RF, ASME B16.10, 13"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"10""",1032,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,1933.975239,794.18324,270.751639,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,8902,,10.75,,,,,,,,,,276.126639,265.376639,13,Inline,Continuous,Gate,False,,Manual,HandWheel,49.75,23.5,,,,,,
,"Butterfly Valve, Offset, 150 LB, LUG, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"BUTTERFLY VALVE, OFFSET, 6"" ND, 150 LB, LUG, RF, ASME B16.10, 2 1/4"" LG, ASTM A216 GR WPB, HAND LEVER, H=8 3/4"", W=10 1/2""",Butterfly Valve,CS150,"6""",1066,Offset,"SKEY=VYFL,TYPE=VALVE",,LUG,0,RF,ASME B16.5,,in,6,129.324541,498.794735,269.06,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,8906,,6.63,,,,,,,,,,272.375,265.745,2.25,Inline,Continuous,Butterfly,False,,Manual,HandLever,8.75,10.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1061,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,377.474499,360,134.5255,300,,New,,,,,,,VC,?-?,,SHOP,1-PE-001,8932,,4.5,,,,,,,,,,136.7755,132.2755,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 10"" ND, 300 LB, RF, ASME B16.10, 18"" LG, ASTM A216 GR WPB, HAND WHEEL, H=49"", W=23 13/25""",Gate Valve,CS300,"10""",10001,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,10,8186.554937,-583.879715,24.375,300,,New,,,,,,,P,?-?,,SHOP,2-B-1000,9450,,10.75,,,,,,,,,,29.75,19,18,Inline,Continuous,Gate,False,,Manual,HandWheel,49,23.52,,,,,,
